fecha,temp_prom,temp_min,tem_max,precipitacion,nieve,viento_dir,viento_vel,presion
7/19/2022,8.1,-1.5,17.1,0,,70,8.9,1025.2
7/20/2022,13.9,9,19.6,0,,11,11.5,1014.1
7/21/2022,12.6,6,20.6,0,,199,10,1013.2
7/22/2022,9.8,3.9,19.6,0,,105,8.8,1015.3
7/23/2022,13,4.9,19.1,20.8,,82,10.2,1013.6
7/24/2022,15.2,12.5,17.7,0.2,,127,13.4,1015.9
7/25/2022,13.3,10.9,18.2,0.3,,106,16.1,1017.8
7/26/2022,17.4,13.9,21.9,19.3,,106,10.6,1015.9
7/27/2022,17.8,14.6,22.1,13,,98,16.9,1012.2
7/28/2022,12.8,7.7,18.6,2,,227,17.4,1013.6
7/29/2022,10.1,3,17.9,0,,287,9.1,1017.9
7/30/2022,13.8,6.3,21.1,0,,357,8,1017.3
7/31/2022,13.2,7.1,21.5,0,,87,7.9,1018.2
8/1/2022,11.3,4.7,19.6,0,,96,7.8,1018
8/2/2022,12.3,5.9,19.4,0,,89,13,1017.3
8/3/2022,11.9,9.4,17.1,0,,170,10.1,1015.9
8/4/2022,9.7,5.1,15.7,0,,201,10.9,1016.2
8/5/2022,8.7,2.1,16.9,0,,263,6.3,1019.3
8/6/2022,10,1.9,17.1,0,,87,9,1021.3
8/7/2022,10.2,5.3,16.6,0,,123,14.8,1024.1
8/8/2022,8.4,3.3,15.1,0.2,,135,11.4,1027.8
8/9/2022,10.2,6.4,15.1,0,,122,9.1,1031.5
8/10/2022,8.1,2.9,13.9,0,,63,11,1027.4
8/11/2022,13.4,9.1,18.3,0,,12,13,1022
8/12/2022,14.8,9.3,19.3,0,,24,10.8,1017.1
8/13/2022,16.4,9.4,23.5,0,,72,9.8,1016.9
8/14/2022,17.9,10.9,24.3,0,,54,14.1,1009.7
8/15/2022,15.2,5.5,24.1,2,,253,13.7,1005.5
8/16/2022,12.6,8.1,19.9,0,,303,15,1008.1
8/17/2022,11.1,5.7,20.6,1.1,,232,11.1,1009.4
8/18/2022,6.3,-0.8,13.6,0,,246,13.6,1022
8/19/2022,10.2,2.5,18.3,0,,319,16.1,1028.3
8/20/2022,12.4,6.7,18.6,0,,351,12.5,1027.7
8/21/2022,10.5,1.7,18.6,0,,269,5.2,1028.1
8/22/2022,11.4,4.7,18.7,0,,86,14.5,1026.1
8/23/2022,14.2,6.1,20.5,0,,32,10.9,1020.2
8/24/2022,17,9.1,25.6,0,,29,7.9,1017.8
8/25/2022,19.3,13.2,26.5,0,,86,7.2,1016.5
8/26/2022,17.3,10.6,27.3,0,,45,11.4,1013.3
8/27/2022,17.2,5.9,25.2,0.8,,222,15.4,1014.1
8/28/2022,6.9,-0.5,18,0,,218,10,1033.1
8/29/2022,8.9,1,16,0,,352,9.7,1033.1
8/30/2022,12.8,5.1,19.1,0.5,,41,11.4,1026.3
8/31/2022,15.1,9.3,21.3,0,,79,10.6,1017.2
9/1/2022,15.5,12.1,22.3,0.2,,128,6.5,1012.9
9/2/2022,12.1,5.9,17.5,0,,194,12.7,1023.1
9/3/2022,10.9,-0.1,20.1,0,,342,5.9,1027.3
9/4/2022,15.5,9.3,21.9,0,,347,12.8,1025.3
9/5/2022,16.4,9.5,23.3,0,,3,9.9,1024.6
9/6/2022,15.2,5.7,24,0,,40,10.9,1019.6
9/7/2022,18.9,13.9,24.1,0,,29,13.2,1009.4
9/8/2022,17.3,10.1,24.6,13.4,,84,13,1006.5
9/9/2022,9.9,5.5,26.5,3,,214,16.1,1017.7
9/10/2022,10,1.3,19.1,0,,254,9.3,1023.4
9/11/2022,12.1,5.3,19.1,0.1,,24,9.9,1021.6
9/12/2022,13.9,5.7,20.5,0,,116,7.3,1018.5
9/13/2022,12.8,3.5,20.9,0,,135,7.7,1020
9/14/2022,13.6,5,21.4,0,,67,8.7,1024.8
9/15/2022,16.2,10.9,21.5,0,,48,13.6,1024.2
9/16/2022,18.5,14.7,22.7,0,,38,21.6,1021.3
9/17/2022,20,15.5,24.7,0,,55,23,1017.2
9/18/2022,19.2,15.7,25.4,0.3,,66,14.7,1013.5
9/19/2022,17.4,12.7,22.7,0,,251,11.5,1014
9/20/2022,11.8,4.9,22.1,1,,154,9.3,1018
9/21/2022,13.6,10.1,18.2,6.7,,125,9.2,1018
9/22/2022,13.1,6.3,19.1,0,,269,7.4,1018.2
9/23/2022,12.2,3.1,20.3,0,,337,6.5,1019.7
9/24/2022,16.9,11.1,22,0,,42,11.8,1019.2
9/25/2022,16.1,10.7,22.6,0,,95,12.3,1017.6
9/26/2022,16.8,10.5,24.3,0,,201,6.2,1013.7
9/27/2022,17,8.6,26.7,0,,210,10.3,1020.4
9/28/2022,12.7,4.7,27.1,0,,121,14.6,1029.7
9/29/2022,12.8,6,19.1,0,,97,15,1027.6
9/30/2022,14.6,8.3,20.1,0,,89,11.2,1023
10/1/2022,16.5,7.7,24.3,0,,77,7.7,1021.5
10/2/2022,18.4,9.3,27.9,0,,140,10.6,1022.7
10/3/2022,14.1,7.1,28.1,0,,102,17.9,1022.2
10/4/2022,15.3,11.5,20.6,0,,74,19.8,1017
10/5/2022,17.5,12.5,22.6,0,,93,14.2,1014.6
10/6/2022,16.6,12.5,23.3,0.6,,204,10.2,1009.7
10/7/2022,19.4,8.1,28.4,0,,293,12.8,1006.7
10/8/2022,16.6,6.9,29.1,3.2,,256,18.1,1008
10/9/2022,11.3,1.1,20.2,0,,253,12.7,1020.4
10/10/2022,13.8,4.7,22.1,0,,94,9.9,1023.2
10/11/2022,15.8,10.4,23,0,,62,10,1019.6
10/12/2022,19.6,10.3,29.1,0,,346,15.4,1011.8
10/13/2022,16.4,9.9,30.1,0.3,,193,16,1019.4
10/14/2022,12.5,5.9,17.5,0,,114,17.6,1030.5
